"","cpid","crop.name","crop.category","cropid","variable","value"
"1","KACHCHH","Jowar","CEREALS",101,"v1",1
"2","KACHCHH","Bajra","CEREALS",102,"v1",1
"3","KACHCHH","wheat","CEREALS",103,"v1",1
"4","KACHCHH","Mug","PULSES",201,"v1",1
"5","KACHCHH","Math","PULSES",202,"v1",1
"7","KACHCHH","Aranda","OILSEEDS",301,"v1",1
"8","KACHCHH","Tal (sesame)","OILSEEDS",302,"v1",1
"9","KACHCHH","groundnut(mungfali)","OILSEEDS",303,"v1",1
"10","KACHCHH","Raydo (Mustard)","OILSEEDS",304,"v1",1
"16","KACHCHH","RIGAN (Brinjal)","VEGETABLE",601,"v1",1
"17","KACHCHH","Marcha (Mirchi)","VEGETABLE",602,"v1",1
"18","KACHCHH","Tameta(Tomato)","VEGETABLE",603,"v1",1
"27","KACHCHH","Sovin (Gouvar)","OTHERS",701,"v1",1
"29","DEVAS","Jowar","CEREALS",101,"v1",1
"30","DEVAS","Makka(maize)","CEREALS",102,"v1",1
"31","DEVAS","Dhan(paddy)","CEREALS",103,"v1",1
"32","DEVAS","Rajgara","CEREALS",104,"v1",1
"33","DEVAS","Bajra","CEREALS",105,"v1",1
"34","DEVAS","Genhu(wheat)","CEREALS",104,"v1",1
"35","DEVAS","Tuar","PULSES",201,"v1",1
"36","DEVAS","Chana","PULSES",202,"v1",1
"37","DEVAS","Chawla","PULSES",203,"v1",1
"38","DEVAS","Urad","PULSES",204,"v1",1
"39","DEVAS","Mung","PULSES",205,"v1",1
"40","DEVAS","Soyabean","OILSEEDS",301,"v1",1
"41","DEVAS","Mungfali(groundnut)","OILSEEDS",302,"v1",1
"42","DEVAS","Tillee(sesame)","OILSEEDS",303,"v1",1
"43","DEVAS","Kapas(cotton)","FIBRE",401,"v1",1
"44","DEVAS","Aam(mango)","FRUIT",501,"v1",1
"45","DEVAS","Nariyal(cocunut)","FRUIT",502,"v1",1
"46","DEVAS","Jam","FRUIT",503,"v1",1
"47","DEVAS","Jamun","FRUIT",504,"v1",1
"48","DEVAS","Papita","FRUIT",505,"v1",1
"49","DEVAS","Tarbuj","FRUIT",506,"v1",1
"50","DEVAS","Kharbuj","FRUIT",507,"v1",1
"51","DEVAS","Amrood","FRUIT",508,"v1",1
"52","DEVAS","Sitafal","FRUIT",509,"v1",1
"53","DEVAS","Anar","FRUIT",510,"v1",1
"54","DEVAS","Temru","FRUIT",511,"v1",1
"55","DEVAS","Khajur(dates)","FRUIT",512,"v1",1
"56","DEVAS","Billa","FRUIT",513,"v1",1
"57","DEVAS","Bair(Indian apple)","FRUIT",514,"v1",1
"58","DEVAS","Mahua","FRUIT",515,"v1",1
"59","DEVAS","Imali(tamarind)","FRUIT",516,"v1",1
"60","DEVAS","Kaila","FRUIT",517,"v1",1
"61","DEVAS","Awla(gooseberry)","FRUIT",518,"v1",1
"62","DEVAS","Badam","FRUIT",519,"v1",1
"64","DEVAS","Karunda","FRUIT",521,"v1",1
"65","DEVAS","Nimbu(lemon)","FRUIT",522,"v1",1
"66","DEVAS","Narangi","FRUIT",523,"v1",1
"67","DEVAS","Katar","FRUIT",524,"v1",1
"68","DEVAS","Bhindi(okra)","VEGETABLE",601,"v1",1
"69","DEVAS","Karela(bitter gourd)","VEGETABLE",602,"v1",1
"70","DEVAS","Kakadi","VEGETABLE",603,"v1",1
"71","DEVAS","Baingan(brinjal)","VEGETABLE",604,"v1",1
"72","DEVAS","Gobhi(cauliflower)","VEGETABLE",605,"v1",1
"73","DEVAS","Tamatar(tomato)","VEGETABLE",606,"v1",1
"74","DEVAS","Gajar(carrot)","VEGETABLE",607,"v1",1
"75","DEVAS","Muli(raddish)","VEGETABLE",608,"v1",1
"76","DEVAS","Palak(spinach)","VEGETABLE",609,"v1",1
"77","DEVAS","Maithi(fenugreek)","VEGETABLE",610,"v1",1
"78","DEVAS","Aalu(potato)","VEGETABLE",611,"v1",1
"79","DEVAS","Batla","VEGETABLE",612,"v1",1
"80","DEVAS","Dhaniya(coriander)","VEGETABLE",613,"v1",1
"81","DEVAS","Mirchi(chillies)","VEGETABLE",614,"v1",1
"82","DEVAS","Arabi(taro)","VEGETABLE",615,"v1",1
"83","DEVAS","Gilki","VEGETABLE",616,"v1",1
"84","DEVAS","Gawarfali(cluster beans)","VEGETABLE",617,"v1",1
"85","DEVAS","Loki(bottle gourd)","VEGETABLE",618,"v1",1
"86","DEVAS","Kaddu(pumpkin)","VEGETABLE",619,"v1",1
"87","DEVAS","Toriya (ridge gourd)","VEGETABLE",620,"v1",1
"88","DEVAS","Tumadi","VEGETABLE",621,"v1",1
"89","DEVAS","Jhumaki","VEGETABLE",622,"v1",1
"90","DEVAS","Balar","VEGETABLE",624,"v1",1
"91","DEVAS","Surjnafali","VEGETABLE",625,"v1",1
"92","DEVAS","Haldi(turmeric)","VEGETABLE",626,"v1",1
"93","DEVAS","Dangari","VEGETABLE",627,"v1",1
"94","DEVAS","Amadi","VEGETABLE",628,"v1",1
"95","DEVAS","Shakar-kand(sweet potato)","VEGETABLE",629,"v1",1
"96","DEVAS","Soup","VEGETABLE",630,"v1",1
"97","DEVAS","Arandi","VEGETABLE",631,"v1",1
"98","KHANDWA","Jowar","CEREALS",101,"v1",1
"99","KHANDWA","Maize","CEREALS",102,"v1",1
"100","KHANDWA","Wheat","CEREALS",103,"v1",1
"101","KHANDWA","Paddy","CEREALS",104,"v1",1
"102","KHANDWA","Sawariya","PULSES",201,"v1",1
"103","KHANDWA","Codu","PULSES",202,"v1",1
"104","KHANDWA","Kutki","PULSES",203,"v1",1
"105","KHANDWA","Badali","PULSES",204,"v1",1
"106","KHANDWA","Gram","PULSES",205,"v1",1
"107","KHANDWA","Tuwar","PULSES",206,"v1",1
"108","KHANDWA","Urad","PULSES",207,"v1",1
"109","KHANDWA","Mung","PULSES",208,"v1",1
"110","KHANDWA","Chawala","PULSES",209,"v1",1
"111","KHANDWA","Masoor","PULSES",210,"v1",1
"112","KHANDWA","Soyabean","OILSEEDS",301,"v1",1
"113","KHANDWA","mungfali (groundnut)","OILSEEDS",302,"v1",1
"114","KHANDWA","tilli(sesame)","OILSEEDS",303,"v1",1
"115","KHANDWA","Cotton","FIBRE",401,"v1",1
"116","KHANDWA","Jam","FRUIT",501,"v1",1
"117","KHANDWA","Aam(mango)","FRUIT",502,"v1",1
"118","KHANDWA","Jamun(black plum)","FRUIT",503,"v1",1
"119","KHANDWA","Ber (Indian apple)","FRUIT",504,"v1",1
"120","KHANDWA","Aawala(gooseberry)","FRUIT",505,"v1",1
"121","KHANDWA","Mahuwa","FRUIT",506,"v1",1
"122","KHANDWA","Temru","FRUIT",507,"v1",1
"123","KHANDWA","Nimbu(lemon)","FRUIT",508,"v1",1
"124","KHANDWA","Sitafal(custard apple)","FRUIT",509,"v1",1
"126","KHANDWA","papita(pappaya)","FRUIT",511,"v1",1
"127","KHANDWA","katal (jackfruit)","FRUIT",512,"v1",1
"128","KHANDWA","Imali(tamarind)","FRUIT",513,"v1",1
"129","KHANDWA","Sugarcane","FRUIT",514,"v1",1
"130","KHANDWA","Began(brinjal)","VEGETABLE",601,"v1",1
"131","KHANDWA","Balar","VEGETABLE",602,"v1",1
"132","KHANDWA","Palak(spinach)","VEGETABLE",603,"v1",1
"133","KHANDWA","Methi(fenugreek)","VEGETABLE",604,"v1",1
"134","KHANDWA","Bhindi(okra)","VEGETABLE",605,"v1",1
"135","KHANDWA","Karela(bitter gourd)","VEGETABLE",606,"v1",1
