"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"1","KACHCHH","Wheat","AGRICULTURE",101,"v1",1
"3","KACHCHH"," Sesame ","AGRICULTURE",103,"v1",1
"4","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"v1",1
"5","KACHCHH"," Sovin","AGRICULTURE",105,"v1",1
"7","KACHCHH"," Castor","AGRICULTURE",107,"v1",1
"8","KACHCHH"," Groundnut","AGRICULTURE",108,"v1",1
"9","KACHCHH"," Bajra(Millet)","AGRICULTURE",109,"v1",1
"18","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"v1",1
"19","KACHCHH","Goat","SHEEP/GOAT REARING",302,"v1",1
"20","KACHCHH","milk from cow","DAIRY CATTLE",401,"v1",1
"21","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"v1",1
"24","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v1",1
"31","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"v1",1
"33","KACHCHH","Private transport owner(Truck)","TRADE/BUSINESS/SERVICES",809,"v1",1
"35","KACHCHH","sale of wild honey ","NTFP COLLECTION",901,"v1",1
"36","KACHCHH","Private salaried job (salt factory,cement factory,shop, NGO, Pvt commpany, driver ","SALARIED JOB",1001,"v1",1
"37","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"v1",1
"39","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"v1",1
"40","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"41","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v1",1
"46","DEVAS"," paddy ","AGRICULTURE",101,"v1",1
"47","DEVAS","Wheat","AGRICULTURE",102,"v1",1
"48","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"v1",1
"49","DEVAS","Tilli","AGRICULTURE",104,"v1",1
"50","DEVAS","groundnut","AGRICULTURE",105,"v1",1
"51","DEVAS","chillies","AGRICULTURE",106,"v1",1
"52","DEVAS","jowar","AGRICULTURE",107,"v1",1
"53","DEVAS","maize","AGRICULTURE",108,"v1",1
"54","DEVAS","cotton","AGRICULTURE",109,"v1",1
"55","DEVAS","Soyabean","AGRICULTURE",110,"v1",1
"56","DEVAS","onion","AGRICULTURE",111,"v1",1
"57","DEVAS","potato","AGRICULTURE",112,"v1",1
"58","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"v1",1
"59","DEVAS"," goat ","SHEEP/GOAT REARING",301,"v1",1
"60","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"v1",1
"61","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"v1",1
"62","DEVAS","hen ","OTHER LIVESTOCKS",501,"v1",1
"63","DEVAS","bullocks","OTHER LIVESTOCKS",502,"v1",1
"68","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v1",1
"72","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"v1",1
"73","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"v1",1
"75","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"v1",1
"76","DEVAS","construction contractor","TRADE/BUSINESS/SERVICES",804,"v1",1
"80","DEVAS","Charoli","NTFP COLLECTION",901,"v1",1
"81","DEVAS","Deek(seeds from forest)","NTFP COLLECTION",902,"v1",1
"83","DEVAS","Mahua fruit","NTFP COLLECTION",904,"v1",1
"84","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"v1",1
"85","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"v1",1
"87","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"v1",1
"88","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"89","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v1",1
"90","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"91","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"v1",1
"94","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v1",1
"95","KHANDWA"," Jowar","AGRICULTURE",101,"v1",1
"96","KHANDWA","Maize","AGRICULTURE",102,"v1",1
"97","KHANDWA"," Paddy ","AGRICULTURE",103,"v1",1
"98","KHANDWA"," Wheat ","AGRICULTURE",104,"v1",1
"99","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"v1",1
"100","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"v1",1
"101","KHANDWA"," Cotton","AGRICULTURE",107,"v1",1
"102","KHANDWA"," Mugfali","AGRICULTURE",108,"v1",1
"103","KHANDWA"," Soyabean ","AGRICULTURE",109,"v1",1
"104","KHANDWA","Sugarcane","AGRICULTURE",110,"v1",1
"105","KHANDWA","Silk  Production","AGRICULTURE",111,"v1",1
"107","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"v1",1
"108","KHANDWA"," goat","SHEEP/GOAT REARING",301,"v1",1
"109","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"v1",1
"110","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"v1",1
