"","cpid","water.unit.name","water.unit.type","ownership","unitid","variable","value"
"17","KACHCHH","pond 1-101","POND",1,1017,"v1",1
"46","KACHCHH","checkdam1-101","CHECK DAM",1,4015,"v1",1
"47","KACHCHH","checkdam2-101","CHECK DAM",1,4016,"v1",1
"66","DEVAS","Pond-1(201)","POND",1,1001,"v1",1
"67","DEVAS","Pond-2(201)","POND",1,1002,"v1",1
"68","DEVAS","Pond-3(201)","POND",1,1003,"v1",1
"69","DEVAS","Pond-4(201)","POND",1,1004,"v1",1
"70","DEVAS","Pond-5(201)","POND",1,1005,"v1",1
"71","DEVAS","Pond-6(201)","POND",1,1006,"v1",1
"72","DEVAS","Pond-7(201)","POND",1,1007,"v1",1
"216","KHANDWA","Check dam                        1  -301   ","TANK",1,2003,"v1",1
"217","KHANDWA","Check dam                        2  -301   ","TANK",1,2004,"v1",1
"218","KHANDWA","Check dam                        3  -301   ","TANK",1,2005,"v1",1
"219","KHANDWA","Check dam                        4  -301   ","TANK",1,2006,"v1",1
"220","KHANDWA","Check dam                        5  -301   ","TANK",1,2007,"v1",1
"243","KHANDWA","  Stream                      1 -301         ","STREAM OR RIVER",1,6001,"v1",1
"244","KHANDWA"," Stream                        2 -301       ","STREAM OR RIVER",1,6002,"v1",1
"245","KHANDWA"," Stream                   3  -301      ","STREAM OR RIVER",1,6003,"v1",1
"246","KHANDWA","  Stream                        4  -301       ","STREAM OR RIVER",1,6004,"v1",1
"247","KHANDWA"," Stream                      5  -301       ","STREAM OR RIVER",1,6005,"v1",1
"248","KHANDWA"," Stream                        6 -301       ","STREAM OR RIVER",1,6006,"v1",1
"249","KHANDWA"," Stream                       7 -301     ","STREAM OR RIVER",1,6007,"v1",1
"324","MAHBUBNAGAR","check dam 1-401","CHECK DAM",1,4001,"v1",1
"325","MAHBUBNAGAR","check dam 2-401","CHECK DAM",1,4002,"v1",1
"326","MAHBUBNAGAR","check dam 3-401","CHECK DAM",1,4003,"v1",1
"327","MAHBUBNAGAR","check dam 4-401","CHECK DAM",1,4004,"v1",1
"328","MAHBUBNAGAR","check dam 5-401","CHECK DAM",1,4005,"v1",1
"329","MAHBUBNAGAR","check dam 6-401","CHECK DAM",1,4006,"v1",1
"330","MAHBUBNAGAR","check dam 7-401","CHECK DAM",1,4007,"v1",1
"331","MAHBUBNAGAR","check dam 8-401","CHECK DAM",1,4008,"v1",1
"379","MALKANGIRI"," pond1-501","POND",1,1001,"v1",1
"457","PALAMU","Ahar 1-601","AHAR",1,3001,"v1",1
"458","PALAMU","Ahar 2-601","AHAR",1,3002,"v1",1
"459","PALAMU","Ahar 3-601","AHAR",1,3003,"v1",1
"460","PALAMU","Ahar 4-601","AHAR",1,3004,"v1",1
"461","PALAMU","Ahar 5-601","AHAR",1,3005,"v1",1
"462","PALAMU","Ahar6-601","AHAR",1,3006,"v1",1
"463","PALAMU","Ahar7-601","AHAR",1,3007,"v1",1
"464","PALAMU","Ahar8-601","AHAR",1,3008,"v1",1
"465","PALAMU","Ahar9-601","AHAR",1,3009,"v1",1
"466","PALAMU","Ahar10-601","AHAR",1,3010,"v1",1
"467","PALAMU","Ahar11-601","AHAR",1,3011,"v1",1
"468","PALAMU","Ahar12-601","AHAR",1,3012,"v1",1
"549","PALAMU","Chackdam 1-601","CHECK DAM",1,4001,"v1",1
"550","PALAMU","Chackdam 2-601","CHECK DAM",1,4002,"v1",1
"554","PALAMU","River1-601","STREAM OR RIVER",1,6001,"v1",1
"560","BANKURA","Pond 1  701","POND",1,1001,"v1",1
"561","BANKURA","Pond 2  701","POND",1,1002,"v1",1
"562","BANKURA","Pond 3  701","POND",1,1003,"v1",1
"563","BANKURA","Pond 4  701","POND",1,1004,"v1",1
"713","KACHCHH","pond 1-102","POND",1,1018,"v2",1
"714","KACHCHH","pond2-102","POND",1,1019,"v2",1
"743","KACHCHH","checkdam1-102","CHECK DAM",1,4017,"v2",1
"768","DEVAS","Pond-1(202)","POND",1,1008,"v2",1
"769","DEVAS","Pond-2(202)","POND",1,1009,"v2",1
"770","DEVAS","Pond-3(202)","POND",1,1010,"v2",1
"771","DEVAS","Pond-4(202)","POND",1,1011,"v2",1
"945","KHANDWA","Stream                  1 -302","STREAM OR RIVER",1,6008,"v2",1
"946","KHANDWA","Stream                                  2 -302","STREAM OR RIVER",1,6009,"v2",1
"1132","PALAMU","Pond 1-602","POND",1,1011,"v2",1
"1133","PALAMU","Pond 2 -602","POND",1,1012,"v2",1
"1134","PALAMU","Pond 3-602","POND",1,1013,"v2",1
"1135","PALAMU","Pond 4-602","POND",1,1014,"v2",1
"1136","PALAMU","Pond 5-602","POND",1,1015,"v2",1
"1164","PALAMU","Ahar 1-602","AHAR",1,3013,"v2",1
"1165","PALAMU","Ahar 2-602","AHAR",1,3014,"v2",1
"1166","PALAMU","Ahar 3-602","AHAR",1,3015,"v2",1
"1174","PALAMU","Ahar 4-602","AHAR",1,3023,"v2",1
"1259","BANKURA","Pond 1  702","POND",1,1005,"v2",1
"1260","BANKURA","Pond 2  702","POND",1,1006,"v2",1
"1387","BANKURA","Canal 1  702","CANAL",1,7001,"v2",1
"1391","KACHCHH","Pond1 -103","POND",1,1001,"v3",1
"1449","KACHCHH","River-1- 103","STREAM OR RIVER",1,6001,"v3",1
"1467","DEVAS","Pond-1(203)","POND",1,1012,"v3",1
"1468","DEVAS","Pond-2(203)","POND",1,1013,"v3",1
"1469","DEVAS","Pond-3(203)","POND",1,1014,"v3",1
"1470","DEVAS","Pond-4(203)","POND",1,1015,"v3",1
"1471","DEVAS","Pond-5(203)","POND",1,1016,"v3",1
"1472","DEVAS","Pond-6(203)","POND",1,1017,"v3",1
"1473","DEVAS","Pond-7(203)","POND",1,1018,"v3",1
"1529","DEVAS","Check dam-1(203)","CHECK DAM",1,4001,"v3",1
"1530","DEVAS","Check dam-2(203)","CHECK DAM",1,4002,"v3",1
"1531","DEVAS","Check dam-3(203)","CHECK DAM",1,4003,"v3",1
"1571","DEVAS","River-1(203)","STREAM OR RIVER",1,6001,"v3",1
"1572","DEVAS","River-2(203)","STREAM OR RIVER",1,6002,"v3",1
"1596","DEVAS","Canal-1(203)","CANAL",1,7001,"v3",1
"1597","DEVAS","Canal-2(203)","CANAL",1,7002,"v3",1
"1611","KHANDWA","Check Dam                       1 -303","TANK",1,2008,"v3",1
"1612","KHANDWA","Check Dam                       2 -303","TANK",1,2009,"v3",1
"1642","KHANDWA","Stream                  1 -303","STREAM OR RIVER",1,6010,"v3",1
"1643","KHANDWA","Stream                                  2 -303","STREAM OR RIVER",1,6011,"v3",1
"1704","MAHBUBNAGAR","tank 1-403","TANK",1,2001,"v3",1
"1722","MAHBUBNAGAR","check dam 1-404","CHECK DAM",1,4009,"v3",1
"1723","MAHBUBNAGAR","check dam 2-404","CHECK DAM",1,4010,"v3",1
"1724","MAHBUBNAGAR","check dam 3-404","CHECK DAM",1,4011,"v3",1
"1725","MAHBUBNAGAR","check dam 4-404","CHECK DAM",1,4012,"v3",1
"1726","MAHBUBNAGAR","check dam 5-404","CHECK DAM",1,4013,"v3",1
"1727","MAHBUBNAGAR","check dam 6-404","CHECK DAM",1,4014,"v3",1
"1728","MAHBUBNAGAR","check dam 7-404","CHECK DAM",1,4015,"v3",1
"1729","MAHBUBNAGAR","check dam 8-404","CHECK DAM",1,4016,"v3",1
"1770","MALKANGIRI","pond1-503","POND",1,1002,"v3",1
"1795","MALKANGIRI","spring1-503","SPRING",1,5003,"v3",1
"1796","MALKANGIRI","spring2-503","SPRING",1,5004,"v3",1
"1832","PALAMU","Pond 1- 603","POND",1,1016,"v3",1
"1870","PALAMU","Ahar1-603","AHAR",1,3024,"v3",1
"1871","PALAMU","Ahar 2-603","AHAR",1,3025,"v3",1
"1872","PALAMU","Ahar3-603","AHAR",1,3026,"v3",1
"1956","BANKURA","Pond 1  703","POND",1,1007,"v3",1
"1957","BANKURA","Pond 2  703","POND",1,1008,"v3",1
"1958","BANKURA","Pond 3  703","POND",1,1009,"v3",1
"1959","BANKURA","Pond 4  703","POND",1,1010,"v3",1
"2075","BANKURA","River 1  703","STREAM OR RIVER",1,6001,"v3",1
"2105","KACHCHH","pond 1-104","POND",1,1020,"v4",1
"2106","KACHCHH","pond2-104","POND",1,1021,"v4",1
"2134","KACHCHH","checkdam1-104","CHECK DAM",1,4018,"v4",1
"2135","KACHCHH","checkdam2-104","CHECK DAM",1,4019,"v4",1
"2147","KACHCHH","River-1- 104","STREAM OR RIVER",1,6004,"v4",1
"2150","KACHCHH","Canal  1-   104","CANAL",1,7001,"v4",1
"2268","DEVAS","River-1(204)","STREAM OR RIVER",1,6003,"v4",1
"2269","DEVAS","River-2(204)","STREAM OR RIVER",1,6004,"v4",1
"2270","DEVAS","River-3(204)","STREAM OR RIVER",1,6005,"v4",1
"2293","DEVAS","Canal-1(204)","CANAL",1,7003,"v4",1
"2390","MAHBUBNAGAR","pond 1-404","POND",1,1001,"v4",1
